Date,Open,High,Low,Close,Adj Close,Volume
2017-02-14,248750.000000,250440.000000,247810.000000,250419.000000,250419.000000,400
2017-02-15,250419.000000,250990.000000,249240.000000,250990.000000,250990.000000,800
2017-02-16,251000.000000,251610.000000,249160.000000,251500.000000,251500.000000,500
2017-02-17,250800.000000,252860.000000,250060.000000,252838.000000,252838.000000,300
2017-02-21,253100.000000,254380.000000,252760.000000,253690.000000,253690.000000,600
2017-02-22,253600.000000,254500.000000,252580.000000,254151.000000,254151.000000,400
2017-02-23,254520.000000,255200.000000,253730.000000,254900.000000,254900.000000,400
2017-02-24,254560.000000,255200.000000,253810.000000,255040.000000,255040.000000,500
2017-02-27,256231.000000,256760.000000,255501.000000,255795.000000,255795.000000,400
2017-02-28,256330.000000,258270.000000,255870.000000,257100.000000,257100.000000,1000
2017-03-01,261815.000000,266020.000000,261370.000000,266013.000000,266013.000000,1000
2017-03-02,266390.000000,266445.000000,263261.000000,263600.000000,263600.000000,400
2017-03-03,263780.000000,264690.000000,262700.000000,263160.000000,263160.000000,300
2017-03-06,263151.000000,263760.000000,261500.000000,262800.000000,262800.000000,200
2017-03-07,263100.000000,263560.000000,262500.000000,262860.000000,262860.000000,200
2017-03-08,263900.000000,263900.000000,262280.000000,262350.000000,262350.000000,300
2017-03-09,263480.000000,263620.000000,262380.000000,262866.000000,262866.000000,300
2017-03-10,263500.000000,263800.000000,261660.000000,262491.000000,262491.000000,600
2017-03-13,262880.000000,263340.000000,262040.000000,262990.000000,262990.000000,300
2017-03-14,262880.000000,263100.000000,261390.000000,261900.000000,261900.000000,400
2017-03-15,262000.000000,262500.000000,260606.000000,261787.000000,261787.000000,700
2017-03-16,262910.000000,263050.000000,260600.000000,260919.000000,260919.000000,300
2017-03-17,260320.000000,260475.000000,258610.000000,258952.000000,258952.000000,400
2017-03-20,258650.000000,259270.000000,257598.000000,258000.000000,258000.000000,200
2017-03-21,257900.000000,258300.000000,253651.000000,253651.000000,253651.000000,400
2017-03-22,253200.000000,254900.000000,252400.000000,253880.000000,253880.000000,200
2017-03-23,254120.000000,257020.000000,253900.000000,254702.000000,254702.000000,300
2017-03-24,255440.000000,255440.000000,252100.000000,252301.000000,252301.000000,300
2017-03-27,250100.000000,251270.000000,248810.000000,250881.000000,250881.000000,500
2017-03-28,251300.000000,253000.000000,249660.000000,252520.000000,252520.000000,400
2017-03-29,252420.000000,252420.000000,249761.000000,249761.000000,249761.000000,300
2017-03-30,249500.000000,251831.000000,249040.000000,251800.000000,251800.000000,300
2017-03-31,251500.000000,251620.000000,249850.000000,249850.000000,249850.000000,300
2017-04-03,250121.000000,250600.000000,248523.000000,250600.000000,250600.000000,200
2017-04-04,250000.000000,250696.000000,249324.000000,250550.000000,250550.000000,400
2017-04-05,251400.000000,252424.000000,248900.000000,248900.000000,248900.000000,300
2017-04-06,249099.000000,250463.000000,248000.000000,250290.000000,250290.000000,100
2017-04-07,248998.000000,250397.000000,248370.000000,249465.000000,249465.000000,200
2017-04-10,249560.000000,250930.000000,249360.000000,250399.000000,250399.000000,300
2017-04-11,248947.000000,249720.000000,247875.000000,248601.000000,248601.000000,300
2017-04-12,248200.000000,248400.000000,247341.000000,247930.000000,247930.000000,200
2017-04-13,247380.000000,248140.000000,245000.000000,245000.000000,245000.000000,200
2017-04-17,245860.000000,247026.000000,244416.000000,246700.000000,246700.000000,200
2017-04-18,246340.000000,246400.000000,245000.000000,245750.000000,245750.000000,100
2017-04-19,246050.000000,246684.000000,243600.000000,244047.000000,244047.000000,300
2017-04-20,244701.000000,247950.000000,244701.000000,247200.000000,247200.000000,200
2017-04-21,247850.000000,247850.000000,245060.000000,245550.000000,245550.000000,200
2017-04-24,248999.000000,249000.000000,246880.000000,248850.000000,248850.000000,200
2017-04-25,250125.000000,252000.000000,250125.000000,251231.000000,251231.000000,400
2017-04-26,251231.000000,253390.000000,250920.000000,251351.000000,251351.000000,300
2017-04-27,251460.000000,251600.000000,248475.000000,249950.000000,249950.000000,300
2017-04-28,249500.000000,249500.000000,246750.000000,247780.000000,247780.000000,300
2017-05-01,248460.000000,249420.000000,248000.000000,248270.000000,248270.000000,200
2017-05-02,248900.000000,249460.000000,248000.000000,249010.000000,249010.000000,200
2017-05-03,248900.000000,250825.000000,248900.000000,250000.000000,250000.000000,200
2017-05-04,251200.000000,252000.000000,249400.000000,249540.000000,249540.000000,300
2017-05-05,250530.000000,250530.000000,249100.000000,250000.000000,250000.000000,400
2017-05-08,250000.000000,250000.000000,246401.000000,247160.000000,247160.000000,300
2017-05-09,247750.000000,247940.000000,245000.000000,246000.000000,246000.000000,400
2017-05-10,245800.000000,245850.000000,245100.000000,245850.000000,245850.000000,400
2017-05-11,245770.000000,245770.000000,243770.000000,245240.000000,245240.000000,200
2017-05-12,244725.000000,245590.000000,244146.000000,245220.000000,245220.000000,200
2017-05-15,246200.000000,246277.000000,245371.000000,245800.000000,245800.000000,300
2017-05-16,246450.000000,246450.000000,245200.000000,245701.000000,245701.000000,100
2017-05-17,244500.000000,244680.000000,242500.000000,243110.000000,243110.000000,500
2017-05-18,243000.000000,244450.000000,242180.000000,242510.000000,242510.000000,300
2017-05-19,243355.000000,246220.000000,242841.000000,244910.000000,244910.000000,300
2017-05-22,247500.000000,248270.000000,246201.000000,247820.000000,247820.000000,500
2017-05-23,248100.000000,248690.000000,247390.000000,248121.000000,248121.000000,300
2017-05-24,248501.000000,248501.000000,246910.000000,247479.000000,247479.000000,400
2017-05-25,248120.000000,248620.000000,247110.000000,247850.000000,247850.000000,200
2017-05-26,247730.000000,248820.000000,247690.000000,248540.000000,248540.000000,200
2017-05-30,249010.000000,249010.000000,247025.000000,248101.000000,248101.000000,300
2017-05-31,248000.000000,248467.000000,246520.000000,248440.000000,248440.000000,900
2017-06-01,248530.000000,250290.000000,247610.000000,250000.000000,250000.000000,1100
2017-06-02,249700.000000,250600.000000,248936.000000,249660.000000,249660.000000,500
2017-06-05,249860.000000,250660.000000,249660.000000,250000.000000,250000.000000,300
2017-06-06,249200.000000,250012.000000,248650.000000,249300.000000,249300.000000,300
2017-06-07,249330.000000,250105.000000,249000.000000,249621.000000,249621.000000,400
2017-06-08,249500.000000,251820.000000,249500.000000,250305.000000,250305.000000,400
2017-06-09,251660.000000,255180.000000,251280.000000,254965.000000,254965.000000,500
2017-06-12,254965.000000,255900.000000,254400.000000,255900.000000,255900.000000,300
2017-06-13,257100.000000,257698.000000,256495.000000,257200.000000,257200.000000,400
2017-06-14,256500.000000,257200.000000,254000.000000,257150.000000,257150.000000,300
2017-06-15,255920.000000,256300.000000,254440.000000,255596.000000,255596.000000,300
2017-06-16,256070.000000,256450.000000,255130.000000,256450.000000,256450.000000,600
2017-06-19,256960.000000,257945.000000,256310.000000,257320.000000,257320.000000,300
2017-06-20,256900.000000,257290.000000,255740.000000,255860.000000,255860.000000,200
2017-06-21,256400.000000,256400.000000,254290.000000,254400.000000,254400.000000,100
2017-06-22,253480.000000,254040.000000,252510.000000,252620.000000,252620.000000,200
2017-06-23,253300.000000,253300.000000,250000.000000,251800.000000,251800.000000,300
2017-06-26,252150.000000,252450.000000,250580.000000,251480.000000,251480.000000,300
2017-06-27,251520.000000,252065.000000,250165.000000,251310.000000,251310.000000,300
2017-06-28,251920.000000,255230.000000,251920.000000,254660.000000,254660.000000,400
2017-06-29,256170.000000,256610.000000,253030.000000,253901.000000,253901.000000,300
2017-06-30,254240.000000,255160.000000,253980.000000,254700.000000,254700.000000,300
2017-07-03,254990.000000,258970.000000,254990.000000,257980.000000,257980.000000,200
2017-07-05,257402.000000,258750.000000,257178.000000,257500.000000,257500.000000,300
2017-07-06,257640.000000,257862.000000,255150.000000,255550.000000,255550.000000,300
2017-07-07,255820.000000,257000.000000,254840.000000,256780.000000,256780.000000,300
2017-07-10,256750.000000,257015.000000,255050.000000,255400.000000,255400.000000,200
2017-07-11,255200.000000,256270.000000,252254.000000,255500.000000,255500.000000,700
2017-07-12,255500.000000,256132.000000,254500.000000,256000.000000,256000.000000,700
2017-07-13,256300.000000,256300.000000,255180.000000,256000.000000,256000.000000,500
2017-07-14,255149.000000,256262.000000,254400.000000,256020.000000,256020.000000,400
2017-07-17,255950.000000,257665.000000,255650.000000,256200.000000,256200.000000,400
